Asset_ID,Asset_Type,Fuel_Type,Fuel_Consumed_Litres,Distance_Travelled_KM,Trip_Date,Location_Start,Location_End,Trip_Duration_Hours,Maintenance_Flag,Fuel_Cost_Per_Litre,Driver_ID,Weather_Condition,Asset_Age_Years,Speed_KMPH,Trip_Status,Remarks,Total_Trip_Cost
A-00979,Supply Ship,Petrol,4291.01,1965.85,2024-12-06,Ras Laffan,Muscat Dock,49.24,No,1.62,D-155,Rainy,11,42.55,Delayed,Close worry answer father.,6951.44
A-00980,Tugboat,Diesel,2956.47,1880.62,2025-03-06,Ras Laffan,Doha Bay,41.47,No,0.53,D-198,Windy,13,104.59,Cancelled,System race past Mr find over.,1566.93
A-00981,Supply Ship,Jet Fuel,440.66,1911.32,2024-01-31,Doha Bay,Abu Dhabi Rig,56.92,No,1.71,D-360,Windy,11,35.54,Delayed,Control management boy sing tough voice truth person.,753.53
A-00982,Supply Ship,Diesel,333.65,1763.83,2023-11-21,Muscat Dock,Doha Bay,30.94,No,0.54,D-820,Stormy,7,53.98,Delayed,Answer democratic control beautiful you particularly truth.,180.17
A-00983,Supply Ship,Jet Fuel,399.5,517.76,2023-08-24,Muscat Dock,Muscat Dock,30.63,No,1.72,D-412,Rainy,4,108.94,Delayed,Industry material history quality.,687.14
A-00984,Truck,Jet Fuel,4715.19,706.45,2023-10-12,Ras Laffan,Muscat Dock,53.96,No,1.98,D-205,Stormy,1,30.86,Cancelled,Edge family less ask join.,9336.08
A-00985,Supply Ship,Diesel,4264.37,469.8,2023-10-19,Ras Laffan,Dubai Port,46.83,No,1.22,D-887,Windy,11,106.67,Cancelled,True by among level expect wrong get.,5202.53
A-00986,Tugboat,Diesel,4240.21,1972.49,2025-04-09,Dubai Port,Doha Bay,56.24,No,0.84,D-444,Sunny,8,67.54,Completed,Region experience attack.,3561.78
A-00987,Supply Ship,Petrol,4628.66,313.8,2023-11-20,Abu Dhabi Rig,Ras Laffan,63.99,No,0.51,D-173,Rainy,3,38.36,Completed,Manager one yeah record.,2360.62
A-00988,Supply Ship,Jet Fuel,2575.75,739.36,2024-04-07,Ras Laffan,Dubai Port,19.7,Yes,0.73,D-287,Rainy,10,93.72,Completed,Change middle water.,1880.3
A-00989,Tugboat,Petrol,1311.99,406.1,2023-11-29,Ras Laffan,Doha Bay,23.37,No,1.26,D-681,Stormy,13,48.39,Cancelled,Here despite test size tree floor box.,1653.11
A-00990,Supply Ship,Diesel,2066.61,454.67,2023-08-04,Abu Dhabi Rig,Doha Bay,38.41,No,1.71,D-639,Rainy,4,87.79,Cancelled,Bad recently off.,3533.9
A-00991,Tugboat,Jet Fuel,3622.43,501.7,2024-11-02,Doha Bay,Muscat Dock,67.06,No,1.81,D-403,Windy,1,99.09,Cancelled,Since safe could white.,6556.6
A-00992,Supply Ship,Petrol,4392.56,1282.94,2023-09-25,Muscat Dock,Muscat Dock,60.26,No,1.53,D-669,Rainy,8,76.93,Cancelled,Ground clear by enough what every Mrs.,6720.62
A-00993,Tugboat,Petrol,2231.95,161.34,2025-06-07,Doha Bay,Doha Bay,34.26,No,0.63,D-742,Stormy,8,98.6,Cancelled,Leader half concern artist thing.,1406.13
A-00994,Supply Ship,Petrol,2723.37,1149.33,2024-12-17,Abu Dhabi Rig,Muscat Dock,41.69,No,1.99,D-374,Stormy,7,113.5,Delayed,Within foot choose world probably.,5419.51
A-00995,Supply Ship,Diesel,4665.74,1640.38,2024-05-08,Abu Dhabi Rig,Doha Bay,51.57,Yes,1.62,D-979,Windy,3,75.04,Completed,We main talk music decide.,7558.5
A-00996,Truck,Diesel,626.74,1535.38,2024-03-13,Dubai Port,Doha Bay,38.11,No,1.14,D-973,Windy,2,35.24,Cancelled,North walk clearly edge matter.,714.48
A-00997,Truck,Diesel,4325.27,310.83,2024-04-09,Dubai Port,Dubai Port,7.99,No,1.72,D-647,Sunny,13,90.96,Completed,Continue week beat per figure run most need.,7439.46
A-00998,Supply Ship,Jet Fuel,880.61,1830.32,2024-10-04,Muscat Dock,Dubai Port,26.04,No,1.38,D-847,Stormy,4,61.01,Cancelled,Bed fear happen indeed fast.,1215.24
A-00999,Supply Ship,Diesel,2470.92,1542.48,2025-05-22,Ras Laffan,Ras Laffan,4.38,No,1.4,D-464,Sunny,2,73.13,Completed,Budget dinner account him budget investment.,3459.29
A-01000,Helicopter,Jet Fuel,1170.27,20.55,2024-08-06,Abu Dhabi Rig,Dubai Port,48.56,Yes,1.96,D-617,Sunny,13,82.68,Cancelled,Finally light and nearly.,2293.73
A-01001,Tugboat,Petrol,3054.44,1477.37,2024-05-14,Dubai Port,Abu Dhabi Rig,24.94,No,1.7,D-394,Rainy,14,91.75,Cancelled,Until perform task nation data deep decade.,5192.55
A-01002,Helicopter,Petrol,2837.01,1477.47,2025-07-26,Doha Bay,Abu Dhabi Rig,53.42,No,0.89,D-144,Sunny,1,83.98,Completed,Whether ask recently natural realize purpose present.,2524.94
A-01003,Truck,Diesel,1962.04,998.66,2024-06-02,Dubai Port,Muscat Dock,31.51,No,0.76,D-699,Sunny,12,43.29,Delayed,Pressure edge gas present wrong recognize.,1491.15
A-01004,Truck,Petrol,4330.19,101.51,2025-04-29,Doha Bay,Abu Dhabi Rig,4.24,No,0.76,D-108,Sunny,9,94.82,Cancelled,Writer PM age once successful action.,3290.94
A-01005,Truck,Diesel,3333.09,1164.01,2024-12-14,Dubai Port,Dubai Port,27.95,No,1.18,D-709,Sunny,5,100.73,Delayed,Quality democratic accept certain.,3933.05
A-01006,Truck,Jet Fuel,3633.91,1533.84,2025-04-17,Doha Bay,Ras Laffan,16.53,No,1.08,D-543,Sunny,3,23.77,Delayed,Billion food he light discover budget left.,3924.62
A-01007,Supply Ship,Petrol,838.23,549.04,2025-06-27,Dubai Port,Doha Bay,16.21,No,1.18,D-963,Windy,3,50.81,Completed,Event no hit ground man say together off.,989.11
A-01008,Truck,Diesel,4427.51,1337.47,2023-09-03,Dubai Port,Ras Laffan,27.81,Yes,0.59,D-207,Sunny,14,117.78,Cancelled,Character eat half medical leader.,2612.23
A-01009,Supply Ship,Petrol,918.5,714.31,2025-05-09,Muscat Dock,Dubai Port,70.46,No,0.8,D-986,Windy,11,37.77,Completed,Morning modern attention building.,734.8
A-01010,Supply Ship,Petrol,1191.65,1151.97,2024-11-29,Ras Laffan,Dubai Port,69.16,No,1.7,D-975,Windy,9,38.28,Cancelled,Feeling especially manager president again summer.,2025.8
A-01011,Truck,Diesel,727.47,775.29,2025-03-05,Abu Dhabi Rig,Dubai Port,58.05,Yes,1.64,D-388,Rainy,1,79.13,Delayed,Clear kid onto page weight result commercial seem.,1193.05
A-01012,Truck,Petrol,2257.76,614.49,2024-08-30,Ras Laffan,Muscat Dock,18.43,Yes,1.09,D-117,Windy,1,53.82,Delayed,Evening senior through thousand buy west.,2460.96
A-01013,Tugboat,Petrol,4449.78,1713.27,2025-05-09,Muscat Dock,Abu Dhabi Rig,55.24,Yes,1.09,D-149,Windy,3,85.71,Delayed,Sell future nor space.,4850.26
A-01014,Helicopter,Petrol,1336.99,1510.14,2024-08-22,Doha Bay,Dubai Port,2.09,Yes,1.83,D-940,Windy,13,46.26,Cancelled,Nor child prepare few interview up.,2446.69
A-01015,Truck,Petrol,1931.39,697.44,2024-07-16,Ras Laffan,Doha Bay,5.0,No,0.77,D-333,Stormy,14,62.6,Cancelled,Under brother deep real.,1487.17
A-01016,Tugboat,Jet Fuel,4245.73,874.92,2024-10-29,Abu Dhabi Rig,Abu Dhabi Rig,60.34,No,1.04,D-555,Windy,11,119.84,Delayed,Mission every employee note director wide.,4415.56
A-01017,Tugboat,Petrol,3127.29,1386.49,2023-11-29,Abu Dhabi Rig,Abu Dhabi Rig,41.06,Yes,1.65,D-278,Stormy,13,57.34,Delayed,Kind attorney again seat later popular fear.,5160.03
A-01018,Helicopter,Petrol,3782.92,1624.05,2023-09-06,Doha Bay,Muscat Dock,27.5,No,1.36,D-930,Stormy,5,28.62,Delayed,Personal take fish music road company meet science.,5144.77
A-01019,Supply Ship,Diesel,1148.6,1371.84,2024-03-30,Abu Dhabi Rig,Ras Laffan,53.57,Yes,0.59,D-411,Rainy,13,94.24,Delayed,Stand authority that ball foot home expect.,677.67
A-01020,Truck,Jet Fuel,3610.8,1086.45,2024-07-12,Muscat Dock,Abu Dhabi Rig,9.12,No,0.52,D-307,Windy,12,78.86,Cancelled,Popular choose a pull best.,1877.62
A-01021,Helicopter,Diesel,1215.29,1909.23,2024-01-22,Ras Laffan,Abu Dhabi Rig,21.35,No,0.53,D-702,Windy,1,64.46,Cancelled,Parent manage together onto.,644.1
A-01022,Truck,Diesel,4937.84,1550.55,2023-07-30,Abu Dhabi Rig,Dubai Port,52.66,No,1.48,D-109,Windy,5,110.87,Cancelled,Person it oil sound carry number.,7308.0
A-01023,Tugboat,Diesel,2843.44,240.03,2024-02-29,Ras Laffan,Doha Bay,15.71,Yes,1.43,D-442,Rainy,13,34.66,Completed,That great decision market less blood.,4066.12
A-01024,Tugboat,Jet Fuel,3508.63,1120.7,2024-08-13,Dubai Port,Dubai Port,43.65,No,0.57,D-961,Stormy,5,68.97,Delayed,Explain former director possible look.,1999.92
A-01025,Supply Ship,Diesel,680.17,825.02,2024-01-10,Ras Laffan,Doha Bay,32.78,Yes,0.7,D-677,Stormy,6,39.18,Completed,World return public fill sound.,476.12
A-01026,Tugboat,Diesel,1328.21,1591.92,2024-01-28,Doha Bay,Abu Dhabi Rig,15.37,Yes,1.58,D-238,Rainy,8,28.35,Delayed,Somebody month vote stand speech or draw.,2098.57
A-01027,Tugboat,Diesel,784.73,98.88,2024-05-07,Muscat Dock,Doha Bay,64.08,No,0.96,D-155,Sunny,1,64.24,Completed,Movement concern approach president.,753.34
A-01028,Helicopter,Petrol,2011.84,827.34,2024-03-18,Abu Dhabi Rig,Dubai Port,31.92,Yes,1.99,D-841,Windy,12,114.73,Cancelled,Upon might write program now movement.,4003.56
A-01029,Truck,Diesel,1492.27,643.37,2023-12-20,Muscat Dock,Dubai Port,43.52,No,0.97,D-589,Sunny,9,92.21,Delayed,General according produce arrive song.,1447.5
A-01030,Truck,Jet Fuel,3691.32,290.96,2025-05-08,Ras Laffan,Ras Laffan,18.97,No,1.0,D-635,Stormy,11,43.45,Delayed,Effort second actually table wish.,3691.32
A-01031,Helicopter,Jet Fuel,632.67,763.82,2025-05-02,Abu Dhabi Rig,Muscat Dock,25.62,No,1.13,D-453,Stormy,9,66.26,Delayed,Thus worker theory exist effort land.,714.92
A-01032,Supply Ship,Petrol,3785.09,1348.87,2023-10-23,Muscat Dock,Ras Laffan,4.48,No,1.74,D-426,Stormy,1,99.75,Cancelled,Science cold relationship piece particular on water when.,6586.06
A-01033,Truck,Jet Fuel,323.95,729.74,2024-07-20,Doha Bay,Abu Dhabi Rig,35.31,Yes,1.34,D-350,Sunny,6,39.54,Cancelled,Leg parent concern there character later my break.,434.09
A-01034,Tugboat,Jet Fuel,1089.89,1164.21,2024-10-02,Dubai Port,Doha Bay,25.48,No,1.79,D-479,Sunny,10,40.37,Delayed,Politics give this different above red offer thank.,1950.9
A-01035,Truck,Petrol,3980.63,1189.7,2024-03-23,Dubai Port,Dubai Port,24.39,No,1.14,D-482,Windy,6,38.1,Completed,Well pressure particularly per you alone day.,4537.92
A-01036,Tugboat,Diesel,3739.61,1178.35,2025-07-06,Doha Bay,Dubai Port,64.19,No,1.41,D-543,Sunny,8,80.74,Cancelled,Back success half.,5272.85
A-01037,Supply Ship,Petrol,2434.0,1063.77,2023-09-26,Dubai Port,Dubai Port,50.97,No,0.51,D-715,Rainy,8,22.9,Completed,Let present type owner always future.,1241.34
A-01038,Helicopter,Diesel,344.92,242.81,2024-08-07,Doha Bay,Dubai Port,33.47,Yes,1.36,D-683,Rainy,2,78.76,Completed,Century response she coach serious various.,469.09
A-01039,Truck,Diesel,3088.48,444.73,2024-10-12,Ras Laffan,Abu Dhabi Rig,14.87,No,0.62,D-772,Windy,12,102.54,Cancelled,Claim measure claim sell year suffer.,1914.86
A-01040,Helicopter,Jet Fuel,2092.95,1602.13,2024-02-23,Doha Bay,Muscat Dock,70.1,No,0.79,D-246,Windy,9,98.27,Cancelled,Prove choice management full common.,1653.43
A-01041,Truck,Petrol,1650.99,1009.71,2024-04-07,Dubai Port,Ras Laffan,6.31,No,2.0,D-439,Sunny,10,86.68,Cancelled,Draw site among describe imagine lawyer.,3301.98
A-01042,Tugboat,Jet Fuel,3238.01,1415.09,2024-12-04,Ras Laffan,Ras Laffan,10.66,No,1.46,D-273,Sunny,1,41.95,Cancelled,Buy unit professor fear child born war.,4727.49
A-01043,Helicopter,Jet Fuel,2239.41,1144.12,2024-02-17,Doha Bay,Dubai Port,20.19,Yes,1.8,D-607,Windy,5,101.64,Completed,Onto current accept treat marriage everybody.,4030.94
A-01044,Truck,Diesel,552.86,86.99,2025-02-25,Doha Bay,Dubai Port,68.77,No,0.59,D-151,Sunny,10,115.75,Delayed,Language card far rock current someone foreign.,326.19
A-01045,Tugboat,Jet Fuel,4588.16,1594.47,2023-10-31,Ras Laffan,Doha Bay,20.8,Yes,1.08,D-940,Windy,2,38.38,Delayed,Travel trouble central.,4955.21
A-01046,Helicopter,Petrol,3914.62,138.01,2025-07-26,Abu Dhabi Rig,Dubai Port,35.89,No,1.79,D-681,Stormy,10,111.03,Delayed,Move my rich single.,7007.17
A-01047,Helicopter,Jet Fuel,376.25,1886.92,2024-01-08,Dubai Port,Ras Laffan,55.04,No,1.12,D-506,Stormy,1,105.3,Completed,Scene throughout young large.,421.4
A-01048,Truck,Jet Fuel,2672.81,438.6,2023-10-13,Abu Dhabi Rig,Doha Bay,66.97,Yes,0.88,D-888,Windy,13,117.93,Cancelled,Moment hope best blood.,2352.07
A-01049,Truck,Diesel,508.55,1029.69,2023-09-19,Ras Laffan,Doha Bay,43.96,Yes,1.22,D-989,Stormy,7,51.93,Completed,Tree listen well mention create house program.,620.43
A-01050,Truck,Petrol,4202.72,136.54,2024-04-09,Ras Laffan,Dubai Port,28.28,No,1.21,D-521,Sunny,9,113.41,Delayed,Lead strong still perform face call point continue.,5085.29
A-01051,Tugboat,Jet Fuel,3103.77,1790.92,2023-11-15,Muscat Dock,Doha Bay,70.97,No,1.99,D-472,Rainy,2,37.95,Delayed,South night get southern fine.,6176.5
A-01052,Truck,Diesel,945.0,1960.08,2024-11-21,Muscat Dock,Muscat Dock,2.86,No,1.03,D-468,Windy,8,37.52,Cancelled,Hour society majority lead society least mind.,973.35
A-01053,Helicopter,Jet Fuel,201.63,301.12,2025-07-26,Ras Laffan,Dubai Port,60.08,No,1.94,D-898,Windy,5,30.7,Completed,Citizen thing executive economic.,391.16
A-01054,Helicopter,Petrol,254.75,598.62,2024-12-14,Muscat Dock,Muscat Dock,20.7,No,1.87,D-867,Stormy,6,62.78,Delayed,Offer physical Democrat politics might.,476.38
A-01055,Truck,Jet Fuel,2586.09,41.59,2025-05-23,Doha Bay,Dubai Port,59.04,Yes,1.17,D-347,Windy,10,21.22,Cancelled,Media event gun mission especially.,3025.73
A-01056,Truck,Jet Fuel,3698.43,1576.06,2025-03-11,Abu Dhabi Rig,Muscat Dock,12.51,Yes,1.92,D-281,Stormy,14,58.13,Delayed,Fear ever whole can civil magazine bad work.,7100.99
A-01057,Supply Ship,Diesel,692.12,629.81,2024-09-27,Ras Laffan,Dubai Port,25.62,No,1.59,D-599,Windy,12,82.59,Cancelled,International similar cultural consumer task pay behavior.,1100.47
A-01058,Helicopter,Jet Fuel,1184.29,1181.79,2025-05-14,Doha Bay,Ras Laffan,4.97,Yes,1.83,D-463,Sunny,7,27.83,Completed,Not interest accept continue page administration.,2167.25
A-01059,Tugboat,Diesel,1703.57,88.04,2024-05-27,Dubai Port,Dubai Port,15.17,No,1.84,D-818,Stormy,13,101.85,Cancelled,Method try able cultural health drop.,3134.57
A-01060,Supply Ship,Petrol,1168.58,1433.77,2024-12-15,Dubai Port,Ras Laffan,43.8,No,0.63,D-142,Rainy,4,49.27,Delayed,Prove grow physical describe rather be.,736.21
A-01061,Truck,Jet Fuel,2017.55,1063.51,2023-12-20,Muscat Dock,Abu Dhabi Rig,55.07,No,1.85,D-509,Sunny,3,24.65,Delayed,Three fight decade bag.,3732.47
A-01062,Truck,Petrol,2842.11,1452.71,2024-08-31,Muscat Dock,Abu Dhabi Rig,65.7,No,1.23,D-839,Windy,2,57.46,Cancelled,Control lawyer husband recently cut.,3495.8
A-01063,Helicopter,Petrol,3456.19,1581.23,2025-03-07,Doha Bay,Dubai Port,9.5,No,1.46,D-223,Stormy,11,33.84,Delayed,Life just difference least many recent.,5046.04
A-01064,Truck,Jet Fuel,4822.5,187.59,2024-06-21,Dubai Port,Ras Laffan,10.98,No,0.95,D-270,Sunny,1,99.53,Delayed,Policy watch cover shake much industry laugh.,4581.38
A-01065,Tugboat,Diesel,4661.13,1160.4,2024-03-12,Ras Laffan,Ras Laffan,67.65,No,1.47,D-664,Windy,4,53.4,Delayed,Friend low difficult call.,6851.86
A-01066,Helicopter,Petrol,2893.62,1303.39,2025-01-18,Abu Dhabi Rig,Doha Bay,55.38,Yes,0.54,D-137,Stormy,6,31.7,Delayed,Court actually lead instead.,1562.55
A-01067,Truck,Petrol,3697.34,1038.27,2025-01-30,Muscat Dock,Doha Bay,39.32,No,1.06,D-702,Sunny,3,65.37,Cancelled,Statement natural future thought time he share.,3919.18
A-01068,Helicopter,Jet Fuel,4759.27,372.99,2024-11-20,Doha Bay,Muscat Dock,34.85,No,1.44,D-543,Stormy,3,65.2,Cancelled,Resource today when must.,6853.35
A-01069,Truck,Jet Fuel,509.01,1593.24,2025-04-20,Muscat Dock,Doha Bay,12.2,No,0.8,D-960,Windy,10,47.56,Completed,Method choice left.,407.21
A-01070,Truck,Jet Fuel,127.61,1994.94,2025-04-02,Doha Bay,Dubai Port,27.93,Yes,1.51,D-496,Sunny,8,52.7,Delayed,Modern poor approach tonight surface.,192.69
A-01071,Truck,Jet Fuel,246.02,1938.85,2023-09-20,Dubai Port,Doha Bay,27.45,Yes,1.74,D-867,Windy,5,96.88,Completed,Child forward fire enough else.,428.07
A-01072,Tugboat,Jet Fuel,2860.41,1557.28,2025-05-06,Muscat Dock,Doha Bay,47.03,No,0.56,D-977,Sunny,2,83.87,Cancelled,Suffer middle himself.,1601.83
A-01073,Tugboat,Jet Fuel,3837.88,842.03,2024-03-31,Doha Bay,Dubai Port,43.52,Yes,1.41,D-177,Windy,10,41.47,Delayed,Politics push bank major.,5411.41
A-01074,Helicopter,Diesel,1898.67,681.23,2024-05-14,Doha Bay,Dubai Port,5.24,No,1.37,D-165,Windy,9,114.82,Delayed,Spring hot simple wish vote.,2601.18
A-01075,Truck,Petrol,2771.67,146.41,2023-12-28,Muscat Dock,Muscat Dock,61.24,No,1.67,D-694,Stormy,12,50.47,Cancelled,Station policy assume seem figure physical only.,4628.69
A-01076,Truck,Diesel,2630.19,838.41,2023-09-21,Abu Dhabi Rig,Ras Laffan,67.57,Yes,1.55,D-663,Stormy,14,73.34,Cancelled,Day material society these provide have.,4076.79
A-01077,Tugboat,Diesel,564.38,320.54,2025-03-25,Ras Laffan,Doha Bay,56.39,No,1.18,D-316,Sunny,1,77.11,Cancelled,Plant see couple gun minute discussion American.,665.97
A-01078,Truck,Jet Fuel,1675.78,516.13,2025-05-31,Dubai Port,Abu Dhabi Rig,13.67,No,1.03,D-234,Sunny,6,41.37,Completed,Person argue sort approach car recently.,1726.05
A-01079,Tugboat,Petrol,195.23,1784.85,2024-10-26,Muscat Dock,Ras Laffan,13.22,No,1.98,D-753,Windy,5,49.12,Cancelled,Their town property what style born rate.,386.56
A-01080,Truck,Diesel,642.46,1937.37,2024-08-17,Muscat Dock,Dubai Port,52.55,No,1.25,D-721,Stormy,3,68.07,Completed,Push specific wide history when energy year.,803.08
A-01081,Helicopter,Jet Fuel,4078.11,1897.63,2024-12-07,Abu Dhabi Rig,Doha Bay,32.3,Yes,1.11,D-875,Windy,12,45.63,Cancelled,Just thank hope bank.,4526.7
A-01082,Truck,Jet Fuel,4164.13,394.78,2024-08-16,Dubai Port,Muscat Dock,56.3,No,1.99,D-461,Windy,1,50.56,Completed,Walk early education.,8286.62
A-01083,Truck,Petrol,4029.54,1802.78,2024-02-12,Muscat Dock,Abu Dhabi Rig,6.36,No,0.77,D-257,Sunny,1,81.31,Delayed,Opportunity right example national most assume.,3102.75
A-01084,Supply Ship,Diesel,3661.41,291.6,2024-07-30,Abu Dhabi Rig,Ras Laffan,51.87,No,0.78,D-983,Rainy,5,93.38,Cancelled,Management along five cultural boy.,2855.9
A-01085,Tugboat,Diesel,3987.23,1020.24,2024-08-13,Ras Laffan,Doha Bay,31.11,No,1.96,D-222,Windy,7,100.1,Completed,Hit much do story in force.,7814.97
A-01086,Truck,Diesel,3387.81,1290.89,2024-04-18,Doha Bay,Dubai Port,3.2,Yes,1.49,D-190,Windy,8,32.17,Delayed,Serve well important build generation.,5047.84
A-01087,Truck,Jet Fuel,3382.18,930.31,2024-08-28,Ras Laffan,Ras Laffan,39.71,No,1.28,D-904,Stormy,3,93.7,Cancelled,Science bad explain Mrs alone environment admit where.,4329.19
A-01088,Supply Ship,Petrol,3370.07,1904.16,2025-03-15,Ras Laffan,Abu Dhabi Rig,50.63,No,0.6,D-284,Rainy,7,113.64,Completed,Beautiful candidate Mr can want speech.,2022.04
A-01089,Supply Ship,Petrol,2618.81,673.09,2024-03-02,Ras Laffan,Dubai Port,38.51,No,1.03,D-126,Rainy,8,78.07,Cancelled,Ask physical notice now husband.,2697.37
A-01090,Tugboat,Diesel,1880.4,1059.48,2025-07-19,Ras Laffan,Abu Dhabi Rig,9.72,No,1.15,D-988,Windy,3,80.47,Delayed,Become throughout system system here seven join poor.,2162.46
A-01091,Supply Ship,Jet Fuel,3677.96,160.15,2025-03-07,Doha Bay,Doha Bay,58.93,Yes,1.27,D-389,Windy,12,115.53,Delayed,Heart fight direction story sort free.,4671.01
A-01092,Helicopter,Diesel,1563.37,1705.93,2023-09-20,Dubai Port,Ras Laffan,23.51,No,1.15,D-331,Rainy,12,106.94,Cancelled,Before turn peace.,1797.88
A-01093,Supply Ship,Petrol,2760.22,832.59,2024-09-20,Dubai Port,Muscat Dock,66.42,No,1.16,D-672,Windy,10,75.77,Completed,Area into close drive site ability traditional.,3201.86
A-01094,Helicopter,Jet Fuel,2223.44,1404.06,2023-11-15,Abu Dhabi Rig,Doha Bay,65.39,No,1.99,D-190,Rainy,8,96.58,Completed,Seven war style economy.,4424.65
A-01095,Tugboat,Diesel,1455.45,1367.67,2023-10-14,Abu Dhabi Rig,Doha Bay,15.23,No,1.96,D-217,Sunny,5,38.09,Cancelled,Hit practice health clear.,2852.68
A-01096,Tugboat,Diesel,4875.98,1355.76,2025-02-21,Muscat Dock,Muscat Dock,34.82,No,0.63,D-490,Stormy,12,61.31,Completed,Matter health health high evening leader.,3071.87
A-01097,Tugboat,Jet Fuel,1367.88,1018.81,2023-08-28,Ras Laffan,Muscat Dock,10.75,Yes,0.75,D-214,Sunny,5,91.54,Completed,Especially north nation play inside entire.,1025.91
A-01098,Tugboat,Petrol,1615.54,562.26,2023-08-16,Ras Laffan,Dubai Port,49.12,No,1.91,D-151,Sunny,8,48.86,Delayed,College push successful.,3085.68
A-01099,Tugboat,Jet Fuel,891.78,1253.94,2024-07-30,Doha Bay,Abu Dhabi Rig,61.49,No,0.98,D-145,Stormy,6,65.39,Completed,Detail ground cut detail guy agree.,873.94
A-01100,Helicopter,Diesel,4132.61,1923.97,2025-03-19,Ras Laffan,Doha Bay,47.03,No,1.42,D-780,Sunny,6,37.27,Cancelled,Understand go all scientist state contain.,5868.31
A-01101,Helicopter,Diesel,2974.29,1669.56,2025-01-24,Doha Bay,Dubai Port,19.49,No,1.7,D-151,Windy,12,109.78,Delayed,Institution face message actually.,5056.29
A-01102,Tugboat,Diesel,3103.89,226.45,2024-10-29,Muscat Dock,Dubai Port,6.42,Yes,1.21,D-567,Sunny,14,109.57,Cancelled,Work build personal charge.,3755.71
A-01103,Supply Ship,Diesel,4120.75,56.14,2023-08-25,Abu Dhabi Rig,Doha Bay,5.92,Yes,0.52,D-280,Sunny,13,67.84,Delayed,Stand open agree.,2142.79
A-01104,Truck,Petrol,1780.31,1002.95,2024-11-06,Abu Dhabi Rig,Abu Dhabi Rig,44.38,Yes,1.74,D-251,Windy,6,39.2,Completed,Ball somebody though back.,3097.74
A-01105,Tugboat,Petrol,1048.8,1553.9,2025-01-18,Muscat Dock,Muscat Dock,68.69,No,1.63,D-209,Windy,10,87.92,Cancelled,Career record century.,1709.54
A-01106,Supply Ship,Diesel,1072.19,634.67,2023-09-17,Muscat Dock,Doha Bay,50.36,No,0.56,D-772,Sunny,1,41.35,Cancelled,Dinner positive lawyer force national company.,600.43
A-01107,Truck,Petrol,3689.84,1405.46,2025-03-08,Ras Laffan,Abu Dhabi Rig,52.87,Yes,1.85,D-722,Sunny,1,42.86,Completed,Police might help door know factor.,6826.2
A-01108,Tugboat,Petrol,3109.16,1864.52,2024-11-14,Abu Dhabi Rig,Muscat Dock,24.38,Yes,1.79,D-750,Windy,3,117.2,Delayed,Degree matter question.,5565.4
A-01109,Tugboat,Petrol,1111.06,923.38,2025-05-14,Dubai Port,Ras Laffan,42.61,No,0.91,D-397,Stormy,2,29.95,Cancelled,Heart show expect decision.,1011.06
A-01110,Helicopter,Diesel,810.82,495.88,2025-06-21,Muscat Dock,Doha Bay,23.48,No,0.62,D-316,Windy,9,57.92,Cancelled,Suffer number describe scene mother share.,502.71
A-01111,Truck,Jet Fuel,691.37,1836.34,2023-08-22,Abu Dhabi Rig,Doha Bay,65.02,No,1.1,D-500,Stormy,2,75.49,Completed,Another price left hold popular both behind.,760.51
A-01112,Truck,Jet Fuel,3176.21,949.81,2024-01-25,Abu Dhabi Rig,Abu Dhabi Rig,10.41,No,1.81,D-779,Windy,4,30.78,Cancelled,A by yet knowledge body such.,5748.94
A-01113,Supply Ship,Jet Fuel,100.58,821.6,2025-04-18,Doha Bay,Dubai Port,45.87,No,1.22,D-592,Windy,11,23.89,Delayed,Senior control technology heavy white contain decision.,122.71
A-01114,Helicopter,Diesel,189.76,713.19,2023-12-21,Abu Dhabi Rig,Dubai Port,52.89,No,0.92,D-641,Stormy,14,74.23,Delayed,Big group record son friend street.,174.58
A-01115,Helicopter,Petrol,2008.81,851.8,2024-12-13,Muscat Dock,Abu Dhabi Rig,50.59,No,0.85,D-526,Stormy,14,31.46,Cancelled,They sing against such quite less.,1707.49
A-01116,Helicopter,Petrol,3487.61,1350.58,2024-11-25,Ras Laffan,Doha Bay,19.27,No,1.03,D-788,Stormy,7,45.12,Completed,Article current test build.,3592.24
A-01117,Helicopter,Diesel,3505.69,873.1,2024-09-11,Abu Dhabi Rig,Doha Bay,35.51,No,1.99,D-179,Sunny,10,69.73,Completed,Arrive condition human office might.,6976.32
A-01118,Truck,Diesel,2207.58,655.21,2024-07-08,Dubai Port,Doha Bay,48.1,No,1.82,D-907,Stormy,12,54.75,Completed,Country far material material treatment.,4017.8
A-01119,Truck,Jet Fuel,3486.26,1489.84,2024-09-30,Muscat Dock,Ras Laffan,67.1,No,1.32,D-554,Windy,7,91.06,Delayed,Language computer possible child long.,4601.86
A-01120,Tugboat,Jet Fuel,2653.37,413.91,2024-06-19,Ras Laffan,Dubai Port,36.48,No,1.71,D-653,Windy,12,116.25,Delayed,Medical successful high course.,4537.26
A-01121,Tugboat,Diesel,4886.96,411.85,2023-11-06,Ras Laffan,Ras Laffan,22.34,No,0.97,D-762,Rainy,11,95.32,Completed,Meet hour bar their ahead.,4740.35
